P_i (Model Probability),R_i (Recovery Score),BFD_i (Fairness Divergence),BFI (FAADS Score),SVE Decision,RF_pred,XGB_pred
0.9997298,0.8888888879999999,0.13731766522032834,0.9165561714295263,Automatic Intervention,0,0
0.9961558,0.5925925919999999,0.25421250959838565,0.7778547197524938,Instructor Review,0,0
0.98134214,0.9259259249999999,0.13075563499272885,0.924941552264841,Automatic Intervention,3,3
0.8925974,0.9259259249999999,0.0,0.9401127094286195,Automatic Intervention,2,2
0.99563783,0.9259259249999999,0.13075563499272885,0.9296591406895236,Automatic Intervention,2,2
0.9991596,0.9259259249999999,0.13728185923271222,0.9286023958117599,Automatic Intervention,4,4
0.9847514,0.9259259249999999,0.13075563499272885,0.9260666197372989,Automatic Intervention,1,1
0.99905545,0.9259259249999999,0.15086119091311587,0.9239510609627095,Automatic Intervention,4,4
0.9997185,0.9259259249999999,0.13075563499272885,0.9310057586266116,Automatic Intervention,0,0
0.9517978,0.9259259249999999,0.0,0.959648847009491,Automatic Intervention,1,1
0.9992447,0.9259259249999999,0.1314066088237217,0.9306280547385057,Automatic Intervention,4,4
0.99875796,0.9259259249999999,0.0,0.975145697023224,Automatic Intervention,2,2
0.99441165,0.9259259249999999,0.16082241417301352,0.9190317798348466,Automatic Intervention,3,3
0.9997342,0.9259259249999999,0.13075563499272885,0.9310109442307071,Automatic Intervention,0,0
0.99845755,0.8888888879999999,0.16379811269924108,0.9071329939712205,Automatic Intervention,0,0
0.9992119,0.9259259249999999,0.31751858966016927,0.8673391630110869,Automatic Intervention,4,4
0.99832755,0.9259259249999999,0.38573516379896083,0.8438537034630775,Automatic Intervention,2,2
0.79573333,0.9259259249999999,0.13075563499272885,0.8636906570030765,Automatic Intervention,1,1
0.9391596,0.9259259249999999,0.13075563499272885,0.9110213047100619,Automatic Intervention,1,1
0.9991997,0.9259259249999999,0.13075563499272885,0.9308345442844943,Automatic Intervention,4,4
0.9987238,0.9259259249999999,0.13075563499272885,0.9306775158478335,Automatic Intervention,0,0
0.9987238,0.9259259249999999,0.17644796289192274,0.9151421243621076,Automatic Intervention,0,0
0.9935603,0.9259259249999999,0.1764865604973748,0.9134250533937375,Automatic Intervention,3,3
0.9997665,0.9259259249999999,0.15686334667825466,0.9221449914890432,Automatic Intervention,0,0
0.9929548,0.9259259249999999,0.1378570353639897,0.926359267367479,Automatic Intervention,3,3
0.99655557,0.9259259249999999,0.3497951996592236,0.8554885399030191,Automatic Intervention,3,3
0.99618953,0.9259259249999999,0.19616567672017424,0.9076017888896586,Automatic Intervention,1,1
0.9997148,0.9259259249999999,0.14380859517611644,0.926566530269042,Automatic Intervention,0,0
0.9956546,0.9259259249999999,0.0,0.9741215700166932,Automatic Intervention,3,3
0.5178873,0.9259259249999999,0.13728185923271222,0.7697825415522689,Instructor Review,1,1
0.97009426,0.9259259249999999,0.13728185923271222,0.9190108461768264,Automatic Intervention,1,1
0.9255873,0.9259259249999999,0.1633912599974018,0.8954463501884383,Automatic Intervention,3,3
0.7040399,0.9259259249999999,0.13075563499272885,0.8334318077398852,Automatic Intervention,1,3
0.9992447,0.9259259249999999,0.3920083333371168,0.8420234684039515,Automatic Intervention,4,4
0.9962,0.8888888879999999,0.1373565252304932,0.9153781352555471,Automatic Intervention,3,3
0.93632776,0.8888888879999999,0.13081671751540838,0.8978438328215623,Automatic Intervention,0,0
0.98811823,0.9259259249999999,0.15033577617708138,0.9205204321155547,Automatic Intervention,3,3
0.9120133,0.9259259249999999,0.13075563499272885,0.9020630246235446,Automatic Intervention,1,1
0.87654984,0.9259259249999999,0.10316674282063842,0.8997403229952432,Automatic Intervention,2,2
0.9983621,0.9259259249999999,0.23521276829054183,0.8950427322254144,Automatic Intervention,2,2
0.9991997,0.9259259249999999,0.16932845119052778,0.9177197867772426,Automatic Intervention,4,4
0.9991554,0.9259259249999999,0.1616714712279877,0.9203085568265363,Automatic Intervention,3,3
0.9992447,0.9259259249999999,0.0,0.9753063017385712,Automatic Intervention,4,4
0.99704933,0.9259259249999999,0.13728185923271222,0.9279060049445266,Automatic Intervention,0,0
0.99970275,0.9259259249999999,0.13094571301818486,0.9309359464938611,Automatic Intervention,0,0
0.71653974,0.9259259249999999,0.13728185923271222,0.835337845841133,Automatic Intervention,1,1
0.9314775,0.9259259249999999,0.26525542347271175,0.8627563016776032,Automatic Intervention,2,2
0.9935603,0.9259259249999999,0.0,0.9734304839628449,Automatic Intervention,3,3
0.9987728,0.9259259249999999,0.0141993247255966,0.9703228141973926,Automatic Intervention,2,2
0.99839205,0.9259259249999999,0.1686542012362672,0.9176825095925781,Automatic Intervention,3,3
0.99905545,0.9259259249999999,0.13075563499272885,0.9307869499756412,Automatic Intervention,2,2
0.9987393,0.9629629619999999,0.1373611464984409,0.9406589603430197,Automatic Intervention,3,3
0.9988575,0.9259259249999999,0.49976315159805856,0.8052590676391552,Automatic Intervention,4,4
0.9991492,0.8148148139999999,0.45332453660299615,0.7844777916087887,Instructor Review,4,4
0.9891061,0.9259259249999999,0.13728185923271222,0.9252847416789168,Automatic Intervention,4,4
0.98790294,0.9259259249999999,0.13075563499272885,0.9271066313816623,Automatic Intervention,3,3
0.5357808,0.8888888879999999,0.0,0.8101410048253546,Automatic Intervention,1,2
0.80845964,0.9259259249999999,0.24183135055915453,0.8301245973767211,Automatic Intervention,1,1
0.9604182,0.9259259249999999,0.18431941901244953,0.8998249656241308,Automatic Intervention,4,4
0.9991824,0.8518518509999999,0.0,0.9508413235184461,Automatic Intervention,2,2
0.9990312,0.8888888879999999,0.999999999,0.6230136271784467,Instructor Review,4,4
0.9921525,0.9259259249999999,0.14435776865650918,0.92388425421593,Automatic Intervention,2,2
0.9869888,0.9259259249999999,0.13075563499272885,0.9268049424721316,Automatic Intervention,1,1
0.99976856,0.9629629619999999,0.1307771178134495,0.9432371871641694,Automatic Intervention,0,0
0.99462044,0.9259259249999999,0.1634116359399326,0.9182203474034545,Automatic Intervention,0,0
0.9997298,0.6666666659999999,0.18029825734787908,0.828609436846159,Automatic Intervention,0,0
0.9120133,0.9259259249999999,0.0,0.9465199405210725,Automatic Intervention,1,1
0.9874973,0.9259259249999999,0.13728185923271222,0.9247538431079024,Automatic Intervention,2,2
0.9959521,0.9259259249999999,0.4997696070659016,0.8042981022665541,Automatic Intervention,1,1
0.9922873,0.37037036999999995,0.19885738887073845,0.7220655152580945,Instructor Review,1,1
0.8710947,0.9259259249999999,0.13741420103393073,0.886295977918895,Automatic Intervention,3,0
0.9970571,0.8888888879999999,0.17643403145403486,0.9023746071790022,Automatic Intervention,0,0
0.9909774,0.9259259249999999,0.17257031421133975,0.9139042009083789,Automatic Intervention,4,4
0.7784856,0.9259259249999999,0.0,0.9024558061617127,Automatic Intervention,3,3
0.9991492,0.9259259249999999,0.15033577617708138,0.9241606367835997,Automatic Intervention,4,4
0.9874348,0.9259259249999999,0.6075833628687028,0.7648307086645733,Instructor Review,0,0
0.56467134,0.9259259249999999,0.1633912599974018,0.7763440807773513,Instructor Review,3,0
0.9992292,0.8888888879999999,0.06551586686672389,0.9408035885967567,Automatic Intervention,2,2
0.99972814,0.9259259249999999,0.259133363362861,0.8873605198292622,Automatic Intervention,0,0
0.9771673,0.9259259249999999,0.20909355483461584,0.8969289577592611,Automatic Intervention,3,3
